,center_id,num_orders_x,venta,pre_base_x,Ren_x,email_x,email_pro_x,web_pro_x,city_code,region_code,center_type,op_area,meal_id,category,cuisine
0,10,137742,23887537.96,25020369.14,-1132831.1799999997,4,5590,9450,590,56,TYPE_B,6.3,1062,Beverages,Italian
1,10,221685,59046014.9,66249984.120000005,-7203969.220000006,14,42967,45305,590,56,TYPE_B,6.3,1109,Rice Bowl,Indian
2,10,50393,8802068.44,9869541.51,-1067473.0700000003,0,0,5230,590,56,TYPE_B,6.3,1198,Extras,Thai
3,10,31031,11011248.74,13211665.18,-2200416.4399999995,12,5308,9946,590,56,TYPE_B,6.3,1207,Beverages,Continental
4,10,20940,8125230.9399999995,8659095.459999999,-533864.5199999996,7,1207,1606,590,56,TYPE_B,6.3,1216,Pasta,Italian
5,10,23024,7985960.91,9771552.17,-1785591.2599999998,12,4929,9482,590,56,TYPE_B,6.3,1230,Beverages,Continental
6,10,4197,1802921.81,1859353.01,-56431.19999999995,0,0,0,590,56,TYPE_B,6.3,1247,Biryani,Indian
7,10,32750,4373534.27,5697835.989999999,-1324301.7199999997,7,3581,6564,590,56,TYPE_B,6.3,1248,Beverages,Indian
8,10,87706,15046713.99,15837867.88,-791153.8900000006,0,0,10506,590,56,TYPE_B,6.3,1311,Extras,Thai
9,10,10151,2222619.29,2311746.03,-89126.73999999976,0,0,0,590,56,TYPE_B,6.3,1438,Soup,Thai
10,10,29541,15737076.37,19143041.59,-3405965.2200000007,22,12994,11253,590,56,TYPE_B,6.3,1445,Seafood,Continental
11,10,83863,22788543.689999998,24649213.2,-1860669.5100000016,0,0,23110,590,56,TYPE_B,6.3,1525,Other Snacks,Thai
12,10,35566,16001069.709999999,17099450.52,-1098380.8100000005,7,3388,5564,590,56,TYPE_B,6.3,1543,Desert,Indian
13,10,34336,18647744.85,22744718.88,-4096974.0299999975,40,17904,13746,590,56,TYPE_B,6.3,1558,Pizza,Continental
14,10,19223,10944680.59,11409419.68,-464739.08999999985,2,472,1541,590,56,TYPE_B,6.3,1571,Fish,Continental
15,10,156275,62024194.55,70113872.28,-8089677.730000004,12,37590,29598,590,56,TYPE_B,6.3,1727,Rice Bowl,Indian
16,10,131638,34854265.56,38393206.39,-3538940.829999998,15,33693,31491,590,56,TYPE_B,6.3,1754,Sandwich,Italian
17,10,8696,3989948.4899999998,4181641.7399999998,-191693.25,0,0,68,590,56,TYPE_B,6.3,1770,Biryani,Indian
18,10,95755,16584347.42,17477050.47,-892703.0499999989,4,3757,10436,590,56,TYPE_B,6.3,1778,Beverages,Italian
19,10,77174,13511981.27,14495053.43,-983072.1600000001,0,0,23315,590,56,TYPE_B,6.3,1803,Extras,Thai
20,10,4590,986083.15,1034135.51,-48052.359999999986,0,0,0,590,56,TYPE_B,6.3,1847,Soup,Thai
21,10,30399,8280646.89,8747614.25,-466967.36000000034,8,3215,4940,590,56,TYPE_B,6.3,1878,Starters,Thai
22,10,214046,30804917.34,31483103.27,-678185.9299999997,2,3700,36736,590,56,TYPE_B,6.3,1885,Beverages,Thai
23,10,10949,4715847.39,4846426.29,-130578.90000000037,0,0,0,590,56,TYPE_B,6.3,1902,Biryani,Indian
24,10,79258,43360385.81,52427882.589999996,-9067496.779999994,40,39892,30586,590,56,TYPE_B,6.3,1962,Pizza,Continental
25,10,86156,21850102.66,27073945.42,-5223842.760000002,24,42273,38032,590,56,TYPE_B,6.3,1971,Sandwich,Italian
